24882 num_stratum
1 num_targets
LAI
basin_ID hill_ID zone_ID patch_ID stratum_ID LAI
1 24 34446 34446 34446 3.100000
1 24 34722 34722 34722 3.100000
1 24 34723 34723 34723 3.100000
1 24 34724 34724 34724 3.100000
1 24 34725 34725 34725 3.100000
1 24 35012 35012 35012 3.100000
1 24 35013 35013 35013 3.100000
1 24 35014 35014 35014 3.100000
1 24 35015 35015 35015 3.100000
1 24 35016 35016 35016 3.100000
1 24 35017 35017 35017 3.100000
1 24 35311 35311 35311 3.100000
1 24 35312 35312 35312 3.100000
1 24 35313 35313 35313 3.100000
1 24 35314 35314 35314 3.100000
1 24 35315 35315 35315 3.100000
1 24 35316 35316 35316 3.100000
1 24 35610 35610 35610 3.100000
1 24 35611 35611 35611 3.100000
1 24 35612 35612 35612 3.100000
1 24 35613 35613 35613 3.100000
1 24 35614 35614 35614 3.100000
1 24 35615 35615 35615 3.100000
1 24 35907 35907 35907 3.100000
1 24 35908 35908 35908 3.100000
1 24 35909 35909 35909 3.100000
1 24 35910 35910 35910 3.100000
1 24 35911 35911 35911 3.100000
1 24 35912 35912 35912 3.100000
1 24 36217 36217 36217 3.100000
1 24 36218 36218 36218 3.100000
1 24 36219 36219 36219 3.100000
1 24 36220 36220 36220 3.100000
1 24 36221 36221 36221 3.100000
1 24 36511 36511 36511 3.100000
1 24 36512 36512 36512 3.100000
1 24 36513 36513 36513 3.100000
1 24 36514 36514 36514 3.100000
1 24 36515 36515 36515 3.100000
1 24 36516 36516 36516 3.100000
1 24 36517 36517 36517 3.100000
1 24 36810 36810 36810 3.100000
1 24 36811 36811 36811 3.100000
1 24 36812 36812 36812 3.100000
1 24 36813 36813 36813 3.100000
1 24 36814 36814 36814 3.100000
1 24 36815 36815 36815 3.100000
1 24 36816 36816 36816 3.100000
1 24 37097 37097 37097 3.100000
1 24 37098 37098 37098 3.100000
1 24 37099 37099 37099 3.100000
1 24 37100 37100 37100 3.100000
1 24 37101 37101 37101 3.100000
1 24 37102 37102 37102 3.100000
1 24 37103 37103 37103 3.100000
1 24 37104 37104 37104 3.100000
1 24 37387 37387 37387 3.700000
1 24 37388 37388 37388 3.700000
1 24 37389 37389 37389 3.700000
1 24 37390 37390 37390 3.700000
1 24 37391 37391 37391 2.500000
1 24 37392 37392 37392 2.500000
1 24 37393 37393 37393 2.500000
1 24 37394 37394 37394 2.500000
1 24 37675 37675 37675 3.700000
1 24 37676 37676 37676 3.700000
1 24 37677 37677 37677 3.700000
1 24 37678 37678 37678 2.500000
1 24 37679 37679 37679 2.500000
1 24 37680 37680 37680 2.500000
1 24 37681 37681 37681 2.500000
1 24 37682 37682 37682 2.500000
1 24 37971 37971 37971 3.700000
1 24 37972 37972 37972 3.700000
1 24 37973 37973 37973 3.700000
1 24 37974 37974 37974 2.500000
1 24 37975 37975 37975 2.500000
1 24 37976 37976 37976 2.500000
1 24 37977 37977 37977 2.500000
1 24 37978 37978 37978 2.500000
1 24 38268 38268 38268 3.700000
1 24 38269 38269 38269 3.700000
1 24 38270 38270 38270 3.700000
1 24 38271 38271 38271 3.700000
1 24 38272 38272 38272 2.500000
1 24 38273 38273 38273 2.500000
1 24 38274 38274 38274 2.500000
1 24 38275 38275 38275 2.500000
1 24 38276 38276 38276 2.500000
1 24 38568 38568 38568 3.700000
1 24 38569 38569 38569 3.700000
1 24 38570 38570 38570 3.700000
1 24 38571 38571 38571 3.700000
1 24 38572 38572 38572 2.500000
1 24 39176 39176 39176 3.700000
1 24 39177 39177 39177 3.300000
1 24 39178 39178 39178 2.500000
1 24 39495 39495 39495 3.700000
1 24 39496 39496 39496 2.900000
1 24 39497 39497 39497 2.500000
1 24 39818 39818 39818 3.700000
1 24 39819 39819 39819 3.700000
1 24 39820 39820 39820 2.500000
1 24 40130 40130 40130 3.700000
1 24 40131 40131 40131 2.800000
1 24 40448 40448 40448 3.700000
1 24 40449 40449 40449 3.100000
1 24 40450 40450 40450 2.500000
1 24 40770 40770 40770 3.700000
1 24 40771 40771 40771 2.500000
1 24 41071 41071 41071 3.700000
1 24 41072 41072 41072 3.700000
1 24 41073 41073 41073 2.500000
1 24 41074 41074 41074 2.500000
1 24 41387 41387 41387 3.700000
1 24 41388 41388 41388 3.700000
1 24 41389 41389 41389 2.500000
1 24 41390 41390 41390 2.500000
1 24 41698 41698 41698 3.700000
1 24 41699 41699 41699 3.700000
1 24 41700 41700 41700 2.500000
1 24 41701 41701 41701 2.500000
1 24 41702 41702 41702 2.500000
1 24 42009 42009 42009 3.700000
1 24 42010 42010 42010 3.700000
1 24 42011 42011 42011 3.700000
1 24 42012 42012 42012 3.700000
1 24 42013 42013 42013 3.700000
1 24 42316 42316 42316 3.700000
1 24 42317 42317 42317 3.700000
1 24 42318 42318 42318 3.700000
1 24 42319 42319 42319 3.700000
1 24 42638 42638 42638 3.700000
1 24 42639 42639 42639 3.700000
1 24 42640 42640 42640 3.700000
1 24 42641 42641 42641 3.700000
1 24 42642 42642 42642 3.700000
1 24 42643 42643 42643 3.700000
1 24 42644 42644 42644 3.700000
1 24 42950 42950 42950 3.700000
1 24 42951 42951 42951 3.700000
1 24 42952 42952 42952 3.700000
1 24 42953 42953 42953 3.700000
1 24 42954 42954 42954 3.700000
1 24 43259 43259 43259 3.700000
1 24 43260 43260 43260 3.700000
1 24 43261 43261 43261 3.700000
1 24 43262 43262 43262 3.700000
1 24 43263 43263 43263 3.700000
1 24 43581 43581 43581 3.700000
1 24 43582 43582 43582 3.700000
1 24 43583 43583 43583 3.700000
1 24 43584 43584 43584 3.700000
1 24 43585 43585 43585 3.700000
1 24 43891 43891 43891 3.700000
1 24 43892 43892 43892 3.700000
1 24 43893 43893 43893 3.700000
1 24 43894 43894 43894 3.700000
1 24 43895 43895 43895 3.700000
1 24 44200 44200 44200 3.700000
1 24 44201 44201 44201 3.700000
1 24 44202 44202 44202 3.700000
1 24 44499 44499 44499 3.700000
1 24 44500 44500 44500 3.700000
1 24 44501 44501 44501 3.700000
1 24 44811 44811 44811 3.700000
1 24 44812 44812 44812 3.700000
1 24 45133 45133 45133 3.700000
1 26 33272 33272 33272 3.100000
1 26 33273 33273 33273 3.100000
1 26 33571 33571 33571 3.100000
1 26 33864 33864 33864 3.100000
1 26 33865 33865 33865 3.100000
1 26 34155 34155 34155 3.100000
1 26 34156 34156 34156 3.100000
1 26 34157 34157 34157 3.100000
1 26 34442 34442 34442 3.100000
1 26 34443 34443 34443 3.100000
1 26 34444 34444 34444 3.100000
1 26 34445 34445 34445 3.100000
1 26 34717 34717 34717 3.100000
1 26 34718 34718 34718 3.100000
1 26 34719 34719 34719 3.100000
1 26 34720 34720 34720 3.100000
1 26 34721 34721 34721 3.100000
1 26 35006 35006 35006 3.100000
1 26 35007 35007 35007 3.100000
1 26 35008 35008 35008 3.100000
1 26 35009 35009 35009 3.100000
1 26 35010 35010 35010 3.100000
1 26 35011 35011 35011 3.100000
1 26 35302 35302 35302 3.100000
1 26 35303 35303 35303 3.100000
1 26 35304 35304 35304 3.100000
1 26 35305 35305 35305 3.100000
1 26 35306 35306 35306 3.100000
1 26 35307 35307 35307 3.100000
1 26 35308 35308 35308 3.100000
1 26 35309 35309 35309 3.100000
1 26 35310 35310 35310 3.100000
1 26 35600 35600 35600 2.300000
1 26 35601 35601 35601 3.100000
1 26 35602 35602 35602 3.100000
1 26 35603 35603 35603 3.100000
1 26 35604 35604 35604 3.100000
1 26 35605 35605 35605 3.100000
1 26 35606 35606 35606 3.100000
1 26 35607 35607 35607 3.100000
1 26 35608 35608 35608 3.100000
1 26 35609 35609 35609 3.100000
1 26 35896 35896 35896 2.300000
1 26 35897 35897 35897 2.300000
1 26 35898 35898 35898 3.100000
1 26 35899 35899 35899 3.100000
1 26 35900 35900 35900 3.100000
1 26 35901 35901 35901 3.100000
1 26 35902 35902 35902 3.100000
1 26 35903 35903 35903 3.100000
1 26 35904 35904 35904 3.100000
1 26 35905 35905 35905 3.100000
1 26 35906 35906 35906 3.100000
1 26 36205 36205 36205 2.300000
1 26 36206 36206 36206 2.300000
1 26 36207 36207 36207 2.300000
1 26 36208 36208 36208 3.100000
1 26 36209 36209 36209 3.100000
1 26 36210 36210 36210 3.100000
1 26 36211 36211 36211 3.100000
1 26 36212 36212 36212 3.100000
1 26 36213 36213 36213 3.100000
1 26 36214 36214 36214 3.100000
1 26 36215 36215 36215 3.100000
1 26 36216 36216 36216 3.100000
1 26 36499 36499 36499 2.300000
1 26 36500 36500 36500 2.300000
1 26 36501 36501 36501 2.300000
1 26 36502 36502 36502 3.100000
1 26 36503 36503 36503 3.100000
1 26 36504 36504 36504 3.100000
1 26 36505 36505 36505 3.100000
1 26 36506 36506 36506 3.100000
1 26 36507 36507 36507 3.100000
1 26 36508 36508 36508 3.100000
1 26 36509 36509 36509 3.100000
1 26 36510 36510 36510 3.100000
1 26 36800 36800 36800 2.300000
1 26 36801 36801 36801 3.100000
1 26 36802 36802 36802 3.100000
1 26 36803 36803 36803 3.100000
1 26 36804 36804 36804 3.100000
1 26 36805 36805 36805 3.100000
1 26 36806 36806 36806 3.100000
1 26 36807 36807 36807 3.100000
1 26 36808 36808 36808 3.100000
1 26 36809 36809 36809 3.100000
1 26 37090 37090 37090 2.566667
1 26 37091 37091 37091 3.100000
1 26 37092 37092 37092 3.100000
1 26 37093 37093 37093 3.100000
1 26 37094 37094 37094 3.100000
1 26 37095 37095 37095 3.100000
1 26 37096 37096 37096 3.100000
1 26 37382 37382 37382 2.300000
1 26 37383 37383 37383 3.000000
1 26 37384 37384 37384 3.700000
1 26 37385 37385 37385 3.700000
1 26 37386 37386 37386 3.700000
1 26 37673 37673 37673 3.300000
1 26 37674 37674 37674 3.700000
1 26 37967 37967 37967 2.300000
1 26 37968 37968 37968 3.700000
1 26 37969 37969 37969 3.700000
1 26 37970 37970 37970 3.700000
1 26 38264 38264 38264 2.300000
1 26 38265 38265 38265 2.300000
1 26 38266 38266 38266 3.700000
1 26 38267 38267 38267 3.700000
1 26 38560 38560 38560 2.300000
1 26 38561 38561 38561 2.300000
1 26 38562 38562 38562 2.300000
1 26 38563 38563 38563 2.300000
1 26 38564 38564 38564 3.700000
1 26 38565 38565 38565 3.700000
1 26 38566 38566 38566 3.700000
1 26 38567 38567 38567 3.700000
1 26 38861 38861 38861 2.300000
1 26 38862 38862 38862 2.300000
1 26 38863 38863 38863 2.300000
1 26 38864 38864 38864 2.300000
1 26 38865 38865 38865 2.300000
1 26 38866 38866 38866 3.700000
1 26 38867 38867 38867 3.700000
1 26 38868 38868 38868 3.700000
1 26 38869 38869 38869 3.700000
1 26 38870 38870 38870 3.700000
1 26 38871 38871 38871 3.700000
1 26 38872 38872 38872 3.700000
1 26 38873 38873 38873 3.700000
1 26 39159 39159 39159 2.300000
1 26 39160 39160 39160 2.300000
1 26 39161 39161 39161 2.300000
1 26 39162 39162 39162 2.300000
1 26 39163 39163 39163 2.300000
1 26 39164 39164 39164 2.300000
1 26 39165 39165 39165 3.700000
1 26 39166 39166 39166 3.700000
1 26 39167 39167 39167 3.700000
1 26 39168 39168 39168 3.700000
1 26 39169 39169 39169 3.700000
1 26 39170 39170 39170 3.700000
1 26 39171 39171 39171 3.700000
1 26 39172 39172 39172 3.700000
1 26 39173 39173 39173 3.700000
1 26 39174 39174 39174 3.700000
1 26 39478 39478 39478 2.300000
1 26 39479 39479 39479 2.300000
1 26 39480 39480 39480 2.300000
1 26 39481 39481 39481 2.300000
1 26 39482 39482 39482 2.300000
1 26 39483 39483 39483 2.300000
